,Image,Response,Time
,,,
0,HBR36.JPG,[2],9.837
,,,
1,HBY139.JPG,[1],8.438
,,,
2,HBY17.JPG,"[2, 3]",5.616
,,,
3,HBY46.JPG,[3],6.693
,,,
4,HBY151.JPG,"[1, 2, 3, 4]",6.494
,,,
5,HBY93.JPG,"[1, 2]",6.24
,,,
6,HBG442.JPG,"[1, 3]",12.087
,,,
7,HBY131.JPG,"[1, 4]",4.249
,,,
8,HBG491.JPG,"[1, 4]",6.367
,,,
9,HBR10.JPG,"[1, 2, 4]",8.147
,,,
10,HBG214.JPG,[2],9.734
,,,
11,HBR30.JPG,"[2, 3]",7.885
,,,
12,HBG485.JPG,"[2, 3]",8.232
,,,
13,HBR12.JPG,"[3, 4]",9.024
,,,
14,HBY129.JPG,"[2, 3]",4.037
,,,
15,HBY159.JPG,"[1, 2, 3, 4]",3.005
,,,
16,HBG6.JPG,"[2, 4]",10.48
,,,
17,HBR42.JPG,"[1, 2, 3]",7.285
,,,
18,HBY14.JPG,"[1, 4]",3.446
,,,
19,HBY95.JPG,"[1, 2]",5.696
,,,
20,HBY91.JPG,"[1, 2, 3, 4]",5.254
,,,
21,HBY154.JPG,"[1, 2, 3, 4]",4.053
,,,
22,HBG23.JPG,"[3, 4]",6.479
,,,
23,HBG85.JPG,"[2, 3, 4]",6.169
,,,
24,HBY23.JPG,"[1, 4]",3.902
,,,
25,HBY11.JPG,"[2, 3]",2.31
,,,
26,HBY94.JPG,"[1, 2]",3.923
,,,
27,HBG84.JPG,"[1, 2, 3, 4]",7.378
,,,
28,HBG19.JPG,"[1, 2]",3.983
,,,
29,HBY134.JPG,"[1, 2, 3]",3.514
,,,
30,HBR21.JPG,"[1, 2, 3, 4]",3.271
,,,
31,HBG2.JPG,[3],4.251
,,,
32,HBG484.JPG,"[2, 3]",6.016
,,,
33,HBG17.JPG,"[1, 2]",2.892
,,,
34,HBR37.JPG,[2],2.51
,,,
35,HBY116.JPG,"[1, 4]",4.539
,,,
36,HBY22.JPG,"[1, 2]",14.309
,,,
37,HBG113.JPG,"[3, 4]",5.571
,,,
38,HBR32.JPG,"[1, 2]",4.381
,,,
39,HBG60.JPG,[3],5.942
,,,
40,HBY49.JPG,"[1, 2, 4]",2.791
,,,
41,HBR31.JPG,[4],2.975
,,,
42,HBR15.JPG,"[2, 3]",3.967
,,,
43,HBY89.JPG,"[1, 2, 3, 4]",3.279
,,,
44,HBG187.JPG,[4],11.284
,,,
45,HBR25.JPG,"[1, 2]",6.963
,,,
46,HBR24.JPG,"[1, 2, 3, 4]",5.893
,,,
47,HBY64.JPG,"[1, 2, 3, 4]",4.179
,,,
48,HBY136.JPG,[1],1.865
,,,
49,HBG393.JPG,"[1, 2, 4]",2.665
,,,
50,HBR13.JPG,"[1, 2, 3, 4]",5.713
,,,
51,HBG509.JPG,"[3, 4]",2.684
,,,
52,HBG44.JPG,"[1, 4]",3.106
,,,
53,HBY161.JPG,"[1, 2, 3, 4]",2.676
,,,
54,HBY103.JPG,"[3, 4]",3.309
,,,
55,HBY24.JPG,"[1, 4]",2.954
,,,
56,HBR5.JPG,"[1, 2, 3, 4]",4.057
,,,
57,HBY100.JPG,"[3, 4]",6.499
,,,
58,HBY155.JPG,[4],2.501
,,,
59,HBY143.JPG,"[2, 4]",2.781
,,,
60,HBG8.JPG,"[1, 2, 4]",3.053
,,,
61,HBG106.JPG,"[1, 2, 3]",14.422
,,,
62,HBG499.JPG,"[1, 2, 3]",3.632
,,,
63,HBY121.JPG,"[1, 2]",4.465
,,,
64,HBY33.JPG,"[3, 4]",2.466
,,,
65,HBR18.JPG,"[1, 2, 3]",3.922
,,,
66,HBG68.JPG,"[3, 4]",4.614
,,,
67,HBG50.JPG,[4],5.615
,,,
68,HBY96.JPG,"[1, 2]",1.952
,,,
69,HBY108.JPG,"[1, 4]",5.4
,,,
70,HBG359.JPG,"[1, 2, 3]",2.425
,,,
71,HBR38.JPG,"[1, 3, 4]",3.03
,,,
72,HBY84.JPG,"[1, 2]",3.238
,,,
73,HB125.JPG,"[1, 4]",3.915
,,,
74,HB126.JPG,"[1, 3, 4]",2.574
,,,
75,HBR19.JPG,"[3, 4]",2.235
,,,
76,HBY1.JPG,"[1, 2, 3, 4]",3.806
,,,
77,HBY98.JPG,"[1, 2, 3]",2.494
,,,
78,HBY173.JPG,"[1, 2, 3, 4]",4.062
,,,
79,HBY5.JPG,"[1, 2, 3]",2.085
,,,
80,HBY4.JPG,"[1, 2]",2.493
,,,
81,HBG200.JPG,"[1, 2]",6.233
,,,
82,HBG372.JPG,"[3, 4]",3.389
,,,
83,HBG178.JPG,"[2, 3]",3.407
,,,
84,HBY171.JPG,[3],2.112
,,,
85,HBR46.JPG,"[1, 2, 3, 4]",2.981
,,,
86,HBY170.JPG,"[1, 2]",2.448
,,,
87,HBY111.JPG,"[1, 2, 3, 4]",2.799
,,,
88,HBR1.JPG,[1],5.529
,,,
89,HBG134.JPG,"[1, 3]",3.014
,,,
90,HBY106.JPG,"[1, 2, 3]",3.383
,,,
91,HBG216.JPG,"[1, 2, 3, 4]",3.58
,,,
92,HBY148.JPG,"[1, 2, 4]",4.102
,,,
93,HBR2.JPG,"[1, 2, 3]",3.576
,,,
94,HBY162.JPG,"[1, 2, 3, 4]",3.288
,,,
95,HBG215.JPG,"[2, 3]",2.273
,,,
96,HBG94.JPG,"[3, 4]",3.768
,,,
97,HBY69.JPG,"[1, 2, 3, 4]",3.688
,,,
98,HBG93.JPG,"[2, 3]",3.868
,,,
99,HBY156.JPG,[4],5.223
,,,
100,HBG189.JPG,"[1, 2]",7.9
,,,
101,HBG502.JPG,"[1, 2, 3]",5.243
,,,
102,HBR39.JPG,"[1, 2, 3]",2.296
,,,
103,HBG275.JPG,[1],4.294
,,,
104,HBY44.JPG,"[1, 2]",2.091
,,,
105,HBG96.JPG,"[1, 2, 3]",4.841
,,,
106,HBG51.JPG,"[1, 2]",5.79
,,,
107,HBG437.JPG,[4],5.272
,,,
108,HBY60.JPG,"[1, 2]",1.803
,,,
109,HBG39.JPG,"[1, 4]",3.362
,,,
110,HBG135.JPG,"[2, 3]",2.659
,,,
111,HBY78.JPG,"[1, 2, 3, 4]",3.239
,,,
112,HBR29.JPG,"[1, 2]",3.177
,,,
113,HBR45.JPG,"[2, 3, 4]",2.534
,,,
114,HBG328.JPG,"[3, 4]",4.96
,,,
115,HBG436.JPG,"[1, 3, 4]",3.089
,,,
