,Image,Response,Time,Q1 Label,Q2 Label,Q3 Label,Q4 Label
0,HBY89.JPG,"[1, 2, 3, 4]",8.429,Hit,Hit,Hit,Hit
1,HBY119.JPG,"[2, 3]",11.830,Correct rejection,Hit,False alarm,Correct rejection
2,HBG187.JPG,"[1, 4]",13.032,False alarm,Correct rejection,Correct rejection,Hit
3,HBY22.JPG,"[2, 3, 4]",7.233,Miss,Hit,False alarm,False alarm
4,HBY43.JPG,"[1, 2, 3, 4]",6.139,Hit,Hit,False alarm,Hit
5,HBR2.JPG,"[1, 2, 3]",5.928,Hit,Hit,Hit,Correct rejection
6,HBR34.JPG,"[2, 3, 4]",6.132,Correct rejection,Hit,Hit,Hit
7,HBG93.JPG,"[2, 3]",4.514,Correct rejection,Hit,Hit,Correct rejection
8,HBG216.JPG,"[1, 2, 3, 4]",5.425,Hit,Hit,Hit,Hit
9,HBG50.JPG,[4],7.514,Correct rejection,Correct rejection,Correct rejection,Hit
10,HBY14.JPG,"[1, 2, 3, 4]",5.924,Hit,False alarm,False alarm,Hit
11,HBG33.JPG,"[1, 2, 4]",5.620,Hit,Hit,Miss,False alarm
12,HBG2.JPG,"[1, 2, 3]",8.826,False alarm,False alarm,Hit,Correct rejection
13,HBY56.JPG,"[1, 2]",7.018,Hit,Hit,Correct rejection,Correct rejection
14,HBY174.JPG,"[1, 2, 3, 4]",8.131,Hit,Hit,Hit,Hit
15,HBR18.JPG,"[1, 2, 3]",4.418,Hit,Hit,Hit,Correct rejection
16,HBG189.JPG,"[1, 4]",18.331,Hit,Miss,Correct rejection,False alarm
17,HBY34.JPG,"[1, 2, 3]",2.516,Hit,Hit,Hit,Correct rejection
18,HBY108.JPG,"[1, 2, 4]",5.319,Hit,False alarm,Correct rejection,Hit
19,HBY167.JPG,"[2, 3]",6.116,Miss,Hit,Hit,Correct rejection
20,HBG10.JPG,"[1, 2, 3]",8.025,Hit,Hit,False alarm,Correct rejection
21,HBY11.JPG,"[1, 2, 3]",4.029,False alarm,Hit,Hit,Correct rejection
22,HBY145.JPG,"[1, 2, 3]",3.215,Hit,Hit,Hit,Correct rejection
23,HBG113.JPG,"[2, 3, 4]",6.924,Correct rejection,False alarm,Hit,Hit
24,HBY31.JPG,"[1, 3]",7.527,Hit,Correct rejection,Hit,Correct rejection
25,HBY30.JPG,"[1, 2]",3.320,Hit,Hit,Correct rejection,Correct rejection
26,HBG55.JPG,"[1, 2, 3, 4]",4.224,Hit,Hit,Hit,Hit
27,HBG420.JPG,"[2, 3]",2.310,Correct rejection,False alarm,Hit,Miss
28,HBR32.JPG,[2],5.312,Miss,Hit,Correct rejection,Correct rejection
29,HBG169.JPG,"[1, 2]",4.415,Hit,Hit,Correct rejection,Correct rejection
30,HBY147.JPG,"[1, 2, 4]",5.819,Hit,Hit,Correct rejection,Hit
31,HBY49.JPG,"[1, 2, 4]",2.718,Hit,Hit,Correct rejection,Hit
32,HBY171.JPG,[3],4.009,Correct rejection,Correct rejection,Hit,Correct rejection
33,HBG507.JPG,"[1, 2, 3]",4.015,Hit,Hit,Hit,Correct rejection
34,HBR27.JPG,"[1, 2, 3, 4]",2.819,Hit,Hit,Hit,Hit
35,HBY4.JPG,"[1, 2]",5.717,Hit,Hit,Correct rejection,Correct rejection
36,HBG84.JPG,"[1, 2, 3, 4]",3.323,Hit,Hit,Hit,Hit
37,HBY162.JPG,"[1, 2, 3, 4]",2.118,Hit,Hit,Hit,Hit
38,HBG393.JPG,"[2, 3, 4]",2.417,Miss,Hit,False alarm,Hit
39,HBG214.JPG,"[2, 3]",56.477,Correct rejection,Hit,False alarm,Correct rejection
40,HBY1.JPG,"[1, 2, 3, 4]",5.727,Hit,Hit,Hit,Hit
41,HBY69.JPG,"[1, 2, 3]",3.018,Hit,Hit,Hit,Miss
42,HBG292.JPG,"[1, 3, 4]",4.027,False alarm,Miss,False alarm,False alarm
43,HBG485.JPG,"[2, 3]",3.813,Correct rejection,Hit,Hit,Correct rejection
44,HBY163.JPG,"[1, 2, 3, 4]",3.521,Hit,Hit,Hit,Hit
45,HBG328.JPG,"[1, 2, 3, 4]",5.422,False alarm,False alarm,Hit,Hit
46,HBY134.JPG,"[1, 2, 3]",4.618,Hit,Hit,Hit,Correct rejection
47,HBG430.JPG,"[3, 4]",3.419,Correct rejection,Correct rejection,Hit,Hit
48,HBY23.JPG,"[1, 4]",2.111,Hit,Correct rejection,Correct rejection,Hit
49,HBR10.JPG,"[1, 2, 3, 4]",7.028,Hit,Hit,False alarm,Hit
50,HBY46.JPG,[3],4.210,Correct rejection,Correct rejection,Hit,Correct rejection
51,HBY151.JPG,"[2, 3, 4]",2.313,Miss,Hit,Hit,Hit
52,HBY93.JPG,"[1, 2]",9.230,Hit,Hit,Correct rejection,Correct rejection
53,HBR30.JPG,"[2, 3]",5.516,Correct rejection,Hit,Hit,Correct rejection
54,HBG133.JPG,"[1, 2, 3, 4]",4.424,False alarm,Hit,False alarm,False alarm
55,HBG178.JPG,"[1, 3]",5.526,False alarm,Miss,Hit,Correct rejection
56,HBG28.JPG,"[1, 2, 4]",4.118,Hit,Hit,Correct rejection,False alarm
57,HBG290.JPG,"[1, 4]",8.628,Hit,Miss,Correct rejection,False alarm
58,HBR36.JPG,"[1, 2]",6.015,False alarm,Hit,Correct rejection,Correct rejection
59,HBY48.JPG,"[1, 2]",3.514,Hit,Hit,Correct rejection,Correct rejection
60,HBY25.JPG,"[1, 2, 3, 4]",5.221,Hit,Hit,Hit,Hit
61,HBY107.JPG,"[1, 2, 3]",3.116,Hit,Hit,Hit,Miss
62,HBG17.JPG,"[2, 3]",5.214,Miss,Hit,False alarm,Correct rejection
63,HBR15.JPG,"[2, 3]",4.615,Correct rejection,Hit,Hit,Correct rejection
64,HBG200.JPG,"[1, 2]",29.945,Hit,Hit,Correct rejection,Correct rejection
65,HBY95.JPG,"[1, 3]",6.016,Hit,Miss,False alarm,Correct rejection
66,HBG104.JPG,"[1, 3, 4]",4.920,Hit,Correct rejection,False alarm,Hit
67,HB126.JPG,"[1, 2, 3, 4]",5.728,Hit,False alarm,Hit,Hit
68,HBG8.JPG,"[1, 2, 4]",2.717,Hit,Hit,Correct rejection,Hit
69,HBY33.JPG,"[3, 4]",4.816,Correct rejection,Correct rejection,Hit,Hit
70,HBY29.JPG,"[2, 3]",4.514,Miss,Hit,False alarm,Correct rejection
71,HBY170.JPG,"[1, 2, 3]",3.516,Hit,Hit,False alarm,Correct rejection
72,HBG135.JPG,"[1, 2, 3]",4.520,False alarm,Hit,Hit,Correct rejection
73,HB125.JPG,"[1, 2]",7.220,Hit,False alarm,Correct rejection,Miss
74,HBG215.JPG,"[1, 2, 3, 4]",4.124,False alarm,Hit,Hit,False alarm
75,HBY155.JPG,[4],6.312,Correct rejection,Correct rejection,Correct rejection,Hit
76,HBR5.JPG,"[2, 3, 4]",4.017,Miss,Hit,Hit,Hit
77,HBY84.JPG,"[1, 2, 4]",4.127,Hit,Hit,Correct rejection,False alarm
78,HBY156.JPG,[4],5.110,Correct rejection,Correct rejection,Correct rejection,Hit
79,HBR39.JPG,"[1, 2, 3]",4.125,Hit,Hit,Hit,Correct rejection
80,HBY57.JPG,"[3, 4]",6.617,Miss,Miss,Hit,Hit
