,Image,Response,Time,Q1 Label,Q2 Label,Q3 Label,Q4 Label
0,HBG2.JPG,"[1, 2, 3]",8.837,False alarm,False alarm,Hit,Correct rejection
1,HBG174.JPG,"[1, 2, 3, 4]",3.221,Hit,Hit,Hit,Hit
2,HBY127.JPG,"[1, 2, 3]",5.131,Hit,Hit,Hit,Correct rejection
3,HBG275.JPG,"[1, 2]",7.527,Hit,False alarm,Correct rejection,Correct rejection
4,HBY23.JPG,"[1, 4]",3.421,Hit,Correct rejection,Correct rejection,Hit
5,HBY173.JPG,"[1, 2, 3, 4]",5.928,Hit,Hit,Hit,Hit
6,HBG216.JPG,"[1, 4]",4.114,Hit,Miss,Miss,Hit
7,HBG393.JPG,"[2, 3, 4]",3.118,Miss,Hit,False alarm,Hit
8,HBG178.JPG,"[1, 2, 3]",3.921,False alarm,Hit,Hit,Correct rejection
9,HBY27.JPG,"[1, 4]",5.125,Hit,Correct rejection,Correct rejection,Hit
10,HBR25.JPG,[4],9.718,Miss,Miss,Correct rejection,False alarm
11,HBY35.JPG,"[1, 2, 3, 4]",3.222,Hit,Hit,Hit,False alarm
12,HBG420.JPG,"[3, 4]",2.912,Correct rejection,Correct rejection,Hit,Hit
13,HBY33.JPG,"[3, 4]",1.612,Correct rejection,Correct rejection,Hit,Hit
14,HBY170.JPG,"[1, 2]",1.509,Hit,Hit,Correct rejection,Correct rejection
15,HBY17.JPG,"[2, 3]",2.311,Correct rejection,Hit,Hit,Correct rejection
16,HBG5.JPG,"[1, 2, 3]",4.318,False alarm,Hit,False alarm,Correct rejection
17,HBY167.JPG,"[1, 2, 3, 4]",5.324,Hit,Hit,Hit,False alarm
18,HBG483.JPG,[3],3.408,Correct rejection,Correct rejection,Hit,Correct rejection
19,HBG53.JPG,"[3, 4]",3.613,Miss,Correct rejection,False alarm,Hit
20,HBG66.JPG,"[2, 3, 4]",2.916,Correct rejection,Hit,Hit,Hit
21,HBR13.JPG,"[1, 2, 3, 4]",3.223,Hit,Hit,Hit,Hit
22,HBR2.JPG,"[1, 2, 3]",4.043,Hit,Hit,Hit,Correct rejection
23,HBY100.JPG,"[2, 3]",5.526,Correct rejection,False alarm,Hit,Miss
24,HBG425.JPG,"[1, 3, 4]",4.218,Hit,Miss,False alarm,False alarm
25,HBY34.JPG,"[1, 2, 3]",3.518,Hit,Hit,Hit,Correct rejection
26,HBY108.JPG,[1],5.119,Hit,Correct rejection,Correct rejection,Miss
27,HBR22.JPG,"[2, 3]",2.412,Correct rejection,Hit,Hit,Correct rejection
28,HBY147.JPG,"[1, 2, 4]",3.316,Hit,Hit,Correct rejection,Hit
29,HBR30.JPG,"[2, 3]",3.113,Correct rejection,Hit,Hit,Correct rejection
30,HBG442.JPG,"[2, 3, 4]",6.319,Miss,False alarm,Hit,False alarm
