,Image,Response,Time,Q1 Label,Q2 Label,Q3 Label,Q4 Label
0,HBG84.JPG,"[1, 2, 3, 4]",12.933,Hit,Hit,Hit,Hit
1,HBY33.JPG,[3],5.021,Correct rejection,Correct rejection,Hit,Miss
2,HBR10.JPG,"[1, 2, 3, 4]",13.836,Hit,Hit,False alarm,Hit
3,HBR29.JPG,"[1, 2]",9.927,Hit,Hit,Correct rejection,Correct rejection
4,HBG94.JPG,"[2, 3, 4]",3.619,Correct rejection,False alarm,Hit,Hit
5,HBG372.JPG,"[3, 4]",9.320,Correct rejection,Correct rejection,Hit,Hit
6,HBY14.JPG,"[1, 4]",2.412,Hit,Correct rejection,Correct rejection,Hit
7,HBG69.JPG,[4],5.611,Correct rejection,Correct rejection,Miss,Hit
8,HBG55.JPG,"[3, 4]",8.020,Miss,Miss,Hit,Hit
9,HBY174.JPG,"[1, 2]",10.427,Hit,Hit,Miss,Miss
10,HBY136.JPG,"[1, 2]",4.214,Hit,False alarm,Correct rejection,Correct rejection
11,HBG2.JPG,"[2, 3]",3.814,Correct rejection,False alarm,Hit,Correct rejection
12,HBG50.JPG,[4],4.610,Correct rejection,Correct rejection,Correct rejection,Hit
13,HBG189.JPG,"[3, 4]",9.022,Miss,Miss,False alarm,False alarm
14,HBG66.JPG,"[2, 3]",2.011,Correct rejection,Hit,Hit,Miss
15,HBY145.JPG,"[1, 2, 3]",3.516,Hit,Hit,Hit,Correct rejection
16,HBR30.JPG,"[2, 3]",6.618,Correct rejection,Hit,Hit,Correct rejection
17,HBY100.JPG,"[2, 4]",21.938,Correct rejection,False alarm,Miss,Hit
18,HBY13.JPG,"[1, 2]",5.717,Hit,Hit,Miss,Miss
19,HBG200.JPG,[2],3.008,Miss,Hit,Correct rejection,Correct rejection
20,HBR23.JPG,"[1, 2, 3, 4]",3.823,False alarm,Hit,Hit,False alarm
21,HBY44.JPG,[2],3.309,Miss,Hit,Correct rejection,Correct rejection
22,HBY90.JPG,"[1, 2]",3.814,Hit,Hit,Miss,Miss
23,HBY85.JPG,"[1, 2]",6.717,Hit,Hit,Correct rejection,Correct rejection
24,HBR27.JPG,"[1, 2, 3, 4]",4.821,Hit,Hit,Hit,Hit
25,HBR2.JPG,"[1, 2, 3, 4]",5.238,Hit,Hit,Hit,False alarm
26,HBY29.JPG,"[2, 3]",2.912,Miss,Hit,False alarm,Correct rejection
27,HBG216.JPG,"[1, 4]",6.118,Hit,Miss,Miss,Hit
28,HBY43.JPG,"[1, 2, 3, 4]",3.624,Hit,Hit,False alarm,Hit
29,HBY162.JPG,"[1, 3, 4]",7.322,Hit,Miss,Hit,Hit
30,HBG430.JPG,"[3, 4]",3.112,Correct rejection,Correct rejection,Hit,Hit
31,HBR24.JPG,"[1, 4]",3.413,Hit,Miss,Miss,Hit
32,HBR19.JPG,"[3, 4]",3.415,Correct rejection,Correct rejection,Hit,Hit
33,HBY20.JPG,"[1, 3]",10.733,Hit,Miss,Hit,Miss
34,HBY103.JPG,[3],2.908,Correct rejection,Correct rejection,Hit,Miss
35,HBY159.JPG,"[1, 2, 3, 4]",8.328,Hit,Hit,Hit,Hit
36,HBY168.JPG,"[1, 3, 4]",4.218,Hit,Correct rejection,False alarm,Hit
37,HBG499.JPG,"[1, 2]",1.510,Hit,Hit,Miss,Correct rejection
38,HBG93.JPG,"[2, 3]",1.510,Correct rejection,Hit,Hit,Correct rejection
39,HBG448.JPG,"[1, 2, 3]",2.214,Hit,Hit,Hit,Correct rejection
40,HBG431.JPG,"[3, 4]",1.510,Correct rejection,Miss,Hit,False alarm
41,HBG437.JPG,"[1, 2, 4]",5.719,False alarm,False alarm,Correct rejection,Hit
42,HBG175.JPG,"[2, 3]",3.714,Correct rejection,Hit,Hit,Correct rejection
43,HBY5.JPG,"[1, 2, 3]",1.917,Hit,Hit,Hit,Correct rejection
44,HBY91.JPG,"[1, 3]",11.224,Hit,Miss,Hit,Miss
45,HBG68.JPG,"[1, 2, 3, 4]",5.726,False alarm,False alarm,Hit,Hit
46,HBY22.JPG,"[1, 2]",3.613,Hit,Hit,Correct rejection,Correct rejection
47,HBG53.JPG,"[1, 4]",3.014,Hit,Correct rejection,Correct rejection,Hit
48,HBG380.JPG,"[3, 4]",2.411,Correct rejection,Correct rejection,Hit,Hit
49,HBG133.JPG,[2],6.815,Correct rejection,Hit,Correct rejection,Correct rejection
50,HBG447.JPG,"[1, 3, 4]",2.715,Hit,Correct rejection,Hit,Hit
