,Image,Response,Time,Q1 Label,Q2 Label,Q3 Label,Q4 Label
0,HBY44.JPG,[2],2.616,Miss,Hit,Correct rejection,Correct rejection
1,HBG113.JPG,[2],5.612,Correct rejection,False alarm,Miss,Miss
2,HBY57.JPG,[4],5.722,Miss,Miss,Miss,Hit
3,HBR15.JPG,[2],2.107,Correct rejection,Hit,Miss,Correct rejection
4,HBG214.JPG,[2],13.821,Correct rejection,Hit,Correct rejection,Correct rejection
5,HBG74.JPG,[2],9.216,Miss,Hit,Correct rejection,Correct rejection
6,HBY24.JPG,[4],2.408,Miss,Correct rejection,Correct rejection,Hit
7,HBG19.JPG,[2],3.810,Miss,Hit,Correct rejection,Correct rejection
8,HBG446.JPG,[2],9.925,Miss,Hit,Miss,Miss
9,HBG310.JPG,"[1, 4]",24.538,Hit,Miss,Correct rejection,Hit
10,HBG394.JPG,"[1, 2]",3.212,Hit,Hit,Correct rejection,Correct rejection
11,HBY140.JPG,"[1, 4]",8.520,Hit,Miss,Miss,Hit
12,HBG442.JPG,"[1, 3]",12.125,Hit,Correct rejection,Hit,Correct rejection
13,HBY52.JPG,"[1, 2, 3]",6.322,Hit,Hit,Hit,Correct rejection
14,HBY167.JPG,"[2, 3]",5.516,Miss,Hit,Hit,Correct rejection
15,HBY147.JPG,"[1, 2, 4]",6.027,Hit,Hit,Correct rejection,Hit
16,HBY148.JPG,"[1, 2, 4]",9.424,Hit,Hit,Correct rejection,Hit
17,HBY17.JPG,"[2, 3]",3.113,Correct rejection,Hit,Hit,Correct rejection
18,HBR38.JPG,"[1, 3, 4]",2.415,Hit,Correct rejection,Hit,Hit
19,HBY128.JPG,"[1, 2, 3, 4]",9.027,Hit,Hit,Hit,Hit
20,HBY90.JPG,"[1, 2, 3, 4]",14.237,Hit,Hit,Hit,Hit
21,HBG23.JPG,"[2, 3, 4]",6.522,Correct rejection,False alarm,Hit,Hit
22,HBY137.JPG,"[1, 2, 3, 4]",3.920,False alarm,Hit,Hit,Hit
23,HBY170.JPG,"[1, 2]",3.712,Hit,Hit,Correct rejection,Correct rejection
24,HBY162.JPG,"[3, 4]",3.713,Miss,Miss,Hit,Hit
25,HBR12.JPG,"[1, 3, 4]",8.333,False alarm,Correct rejection,Hit,Hit
26,HBY134.JPG,"[2, 3]",10.121,Miss,Hit,Hit,Correct rejection
27,HBY1.JPG,[2],9.517,Miss,Hit,Miss,Miss
28,HB125.JPG,"[1, 2]",6.327,Hit,False alarm,Correct rejection,Miss
29,HBY78.JPG,"[1, 2, 3, 4]",5.424,Hit,Hit,Hit,Hit
30,HBR18.JPG,"[1, 2, 4]",3.818,Hit,Hit,Miss,False alarm
31,HBY145.JPG,"[1, 2, 3]",3.116,Hit,Hit,Hit,Correct rejection
