,Image,Response,Time,Q1 Label,Q2 Label,Q3 Label,Q4 Label
0,HBY43.JPG,"[1, 2, 3, 4]",6.929,Hit,Hit,False alarm,Hit
1,HBG174.JPG,"[1, 2, 3, 4]",4.833,Hit,Hit,Hit,Hit
2,HBY58.JPG,"[1, 2, 4]",9.126,Hit,Hit,Correct rejection,False alarm
3,HBG39.JPG,"[1, 4]",5.816,Hit,Correct rejection,Correct rejection,Hit
4,HBY133.JPG,"[1, 2]",4.515,Hit,Hit,Correct rejection,Correct rejection
5,HBY13.JPG,"[1, 2, 3, 4]",3.924,Hit,Hit,Hit,Hit
6,HBG8.JPG,"[1, 2, 3, 4]",4.725,Hit,Hit,False alarm,Hit
7,HBY100.JPG,[4],9.226,Correct rejection,Correct rejection,Miss,Hit
8,HBG50.JPG,[4],4.010,Correct rejection,Correct rejection,Correct rejection,Hit
9,HBY121.JPG,"[1, 2]",3.211,Hit,Hit,Correct rejection,Correct rejection
10,HBY95.JPG,"[1, 2]",4.214,Hit,Hit,Correct rejection,Correct rejection
11,HBG393.JPG,"[2, 3, 4]",3.419,Miss,Hit,False alarm,Hit
12,HBG509.JPG,"[3, 4]",7.324,Correct rejection,Correct rejection,Hit,Hit
13,HBY131.JPG,"[1, 4]",4.922,Hit,Correct rejection,Correct rejection,Hit
14,HBG53.JPG,"[1, 4]",4.515,Hit,Correct rejection,Correct rejection,Hit
15,HBY96.JPG,"[1, 2]",3.313,Hit,Hit,Correct rejection,Correct rejection
16,HBY98.JPG,"[1, 2, 3, 4]",4.425,Hit,Hit,Hit,False alarm
17,HBY129.JPG,"[2, 3]",2.611,Correct rejection,Hit,Hit,Correct rejection
18,HBY149.JPG,"[3, 4]",3.213,Miss,Correct rejection,Hit,Hit
19,HBY136.JPG,[1],4.817,Hit,Correct rejection,Correct rejection,Correct rejection
20,HBY122.JPG,"[1, 2, 3]",3.116,Hit,Hit,Hit,Miss
21,HBG378.JPG,"[3, 4]",4.414,Miss,Correct rejection,Hit,Hit
22,HBR46.JPG,"[1, 3, 4]",4.723,Hit,Miss,Hit,Hit
23,HBR45.JPG,"[3, 4]",5.215,Correct rejection,Miss,Hit,Hit
24,HBG187.JPG,"[1, 2, 3, 4]",11.032,False alarm,False alarm,False alarm,Hit
25,HBR23.JPG,"[1, 2, 3, 4]",4.323,False alarm,Hit,Hit,False alarm
26,HBG135.JPG,"[1, 2, 3]",5.022,False alarm,Hit,Hit,Correct rejection
27,HBG60.JPG,"[3, 4]",5.718,Correct rejection,Correct rejection,Hit,False alarm
28,HBR1.JPG,"[3, 4]",9.526,Miss,Correct rejection,False alarm,False alarm
29,HBG197.JPG,[3],7.616,Correct rejection,Miss,False alarm,Correct rejection
30,HBY147.JPG,"[1, 2, 4]",4.725,Hit,Hit,Correct rejection,Hit
31,HBY107.JPG,"[1, 2, 3, 4]",4.322,Hit,Hit,Hit,Hit
32,HBG19.JPG,"[1, 2, 4]",2.517,Hit,Hit,Correct rejection,False alarm
33,HBR13.JPG,"[1, 2, 3, 4]",4.024,Hit,Hit,Hit,Hit
34,HBY128.JPG,"[1, 2, 3, 4]",3.320,Hit,Hit,Hit,Hit
35,HBR39.JPG,"[1, 2, 3]",2.615,Hit,Hit,Hit,Correct rejection
36,HBY48.JPG,"[1, 2]",2.512,Hit,Hit,Correct rejection,Correct rejection
37,HBR12.JPG,"[1, 3, 4]",4.018,False alarm,Correct rejection,Hit,Hit
38,HBG106.JPG,"[1, 4]",5.017,Hit,Miss,Miss,False alarm
39,HBY167.JPG,"[1, 2, 3, 4]",5.524,Hit,Hit,Hit,False alarm
40,HBG94.JPG,[3],4.511,Correct rejection,Correct rejection,Hit,Miss
41,HBY5.JPG,"[1, 2, 3]",2.917,Hit,Hit,Hit,Correct rejection
42,HBY1.JPG,"[1, 2, 3, 4]",3.624,Hit,Hit,Hit,Hit
43,HBG483.JPG,[3],6.114,Correct rejection,Correct rejection,Hit,Correct rejection
44,HBY27.JPG,"[1, 4]",4.516,Hit,Correct rejection,Correct rejection,Hit
45,BR18.JPG,"[1, 2, 3, 4]",3.523,Hit,Hit,Hit,False alarm
