,Image,Response,Actual,Pres Time,Response Time,Correct
0,HBY60.JPG,y,y,1.0,1.114,1
1,HBG316.JPG,n,n,1.0,0.518,1
2,HBY13.JPG,y,y,1.0,0.529,1
3,HBG321.JPG,n,n,1.0,0.571,1
4,HBG87.JPG,n,n,0.942,0.499,1
5,HBR10.JPG,y,y,0.947,1.199,1
6,HBG510.JPG,n,y,0.818,2.558,0
7,HBY167.JPG,y,y,1.147,0.763,1
8,HBY161.JPG,n,y,0.823,0.846,0
9,HBG304.JPG,n,n,0.936,0.738,1
10,34.jpg,n,n,1.0,0.606,1
11,HBG74.JPG,y,y,1.148,0.613,1
12,HBG17.JPG,n,y,0.955,0.697,0
13,HBG80.JPG,n,n,1.045,0.494,1
14,HBG418.JPG,n,n,0.978,0.796,1
15,HBR2.JPG,y,y,0.939,0.564,1
16,HBG235.JPG,n,n,0.932,0.468,1
17,HBY95.JPG,n,y,1.323,0.514,0
18,HBG402.JPG,n,n,1.05,0.508,1
19,HBG84.JPG,n,y,0.816,0.9,0
20,HBG411.JPG,n,n,0.896,0.68,1
21,HBG100.JPG,n,n,0.814,0.611,1
22,HBG509.JPG,n,y,1.144,0.913,0
23,HBG352.JPG,n,n,1.6,0.729,1
24,HBG246.JPG,n,n,0.982,0.541,1
25,HBG447.JPG,y,y,1.529,0.516,1
26,HBG220.JPG,y,n,0.714,0.96,0
27,HBG364.JPG,n,n,0.96,0.597,1
28,HBG496.JPG,n,n,1.474,0.776,1
29,HBY98.JPG,y,y,1.387,0.486,1
30,HBG211.JPG,n,n,0.885,0.504,1
31,HBY119.JPG,y,y,0.838,0.502,1
32,HBG356.JPG,n,n,0.804,0.658,1
33,HBG365.JPG,n,n,0.933,0.64,1
34,HBG394.JPG,n,y,1.323,0.759,0
35,HBG317.JPG,n,n,1.47,0.621,1
36,HBG415.JPG,n,n,0.895,0.676,1
37,HBY48.JPG,y,y,0.868,0.656,1
38,HBY148.JPG,n,y,1.494,0.539,0
39,HBG55.JPG,y,y,0.844,0.424,1
40,HBY115.JPG,n,y,0.864,0.839,0
41,HBR26.JPG,y,y,1.422,1.234,1
42,HBG318.JPG,n,n,0.95,0.867,1
43,HBG155.JPG,n,n,0.777,0.755,1
44,HBY3.JPG,y,y,0.823,0.801,1
45,HBY22.JPG,y,y,0.755,0.941,1
46,HBR25.JPG,n,y,0.92,0.683,0
47,14.jpg,n,n,1.697,0.619,1
48,HBG88.JPG,y,y,0.735,0.818,1
49,HBG440.JPG,n,n,1.003,1.045,1
50,HBG484.JPG,n,y,0.804,0.747,0
51,HBG424.JPG,n,n,1.632,0.493,1
52,HBY154.JPG,y,y,0.857,0.778,1
53,10.jpg,n,n,1.381,0.499,1
54,HBG150.JPG,n,n,0.971,0.543,1
55,40.jpg,n,n,0.841,0.586,1
56,HBG200.JPG,n,y,0.718,0.62,0
57,HBG6.JPG,n,y,0.767,0.729,0
58,HBG136.JPG,n,n,1.585,0.558,1
59,HBG113.JPG,y,y,0.826,0.872,1
60,HBY25.JPG,y,y,0.813,0.773,1
61,37.jpg,n,n,0.947,0.541,1
62,HBG93.JPG,y,y,0.927,0.572,1
63,HBY137.JPG,y,y,1.548,0.544,1
64,HBR27.JPG,y,y,0.818,0.645,1
65,HBG23.JPG,n,y,0.8,0.712,0
66,HBR32.JPG,y,y,0.911,0.569,1
